gene	foldChange	pValue	passFilter
PREP	-1.18062	1.22234	
UBE2D1	-1.89831	0.625759	
HDGF	-1.06999	0.580437	
PLK1	-3.86618	0.412457	
EPHA4	-1.64737	0.726223	
MLLT4	-1.0311	0.814645	
UBE2G2	-1.65497	0.484965	
UBE2M	-1.58863	0.507817	
ARF1	-1.28099	0.837939	
RAP1A	-1.39471	0.647841	
RHOA	-1.19053	0.440981	
PPP1CB	-1.66262	0.756181	
CALM1	-1.29931	0.436347	
SNRPE	-1.17223	0.802759	
GNB1	-1.10843	0.348089	
PPP2R2A	-1.16323	0.198852	
ACTA1	-3.09757	0.891471	
NUCB2	-1.95262	1.06185	
SRSF3	-1.07053	0.411318	
FABP5	-2.61202	0.876255	
TFAP4	-1.57134	1.04994	
HSF2	-2.16973	0.93046	
ATP7A	-1.15095	1.10384	
TLE1	-1.29804	0.388031	
CPSF1	-1.07331	0.70245	
BNIP1	-1.20562	0.557475	
AIMP2	-1.28313	0.642915	
STK3	-1.39057	0.526483	
MAD2L1	-1.50143	0.426663	
PDAP1	-1.41038	0.621128	
HLTF	-1.68736	1.15053	
SNX17	-1.20969	1.07894	
SLC39A14	-1.90913	0.532233	
IQCB1	-1.01958	0.440646	
TCEB1	-1.28921	0.734566	
CYTH1	-1.30239	0.782946	
NSDHL	-1.17645	1.1802	
HAGH	-1.15727	0.853979	
CYP51A1	-1.44882	0.599921	
TXNRD1	-1.27518	1.07586	
QRICH1	-1.90663	1.21223	
SMU1	-1.04296	0.418976	
GON4L	-1.29304	0.234687	
KLHL22	-1.23102	1.08872	
HSP90AB4P	-1.38595	0.473679	
PPP6R3	-1.13285	0.886358	
CCDC18	-1.06542	0.599991	
MBLAC2	-1.15311	0.445191	
ELP2	-1.37881	0.864746	
DESI1	-2.56821	0.822185	
ARMC6	-1.14514	0.529446	
PDXDC1	-1.73985	0.799732	
FAM199X	-1.11609	0.377515	
TTC33	-1.5012	1.11532	
ELMSAN1	-1.53787	0.531467	
SASS6	-1.02405	0.438415	
UBE2R2	-1.08433	0.260801	
ANO5	-1.25565	0.342967	
MARK2	-1.12105	1.26404	
COPS6	-1.97995	0.690871	
MOB1A	-1.41672	0.803722	
KDELC2	-1.12542	0.826815	
TADA2B	-2.1172	0.515243	
PARG	-1.03366	0.537594	
LSR	-1.33842	0.526834	
ANKMY2	-1.78826	0.744279	
KBTBD2	-1.1559	0.974128	
PELP1	-1.07059	0.60985	
DYNC2H1	-1.44939	1.19632	
RGS22	-1.09505	0.267572	
ATL2	-1.52262	1.01975	
FBXO30	-1.90748	1.07684	
AKAP1	-1.79056	1.03803	
GLG1	-1.12878	0.536298	
EXOC4	-1.03848	0.938422	
TCEAL4	-1.47475	0.596761	
SMARCD1	-1.26045	0.627648	
CCDC138	-1.13596	0.582157	
SRPK1	-1.01761	0.670801	
TTC1	-1.4918	0.554673	
COL12A1	-1.00974	0.312768	
NAP1L4	-1.63992	0.609372	
EIF2AK1	-1.05248	0.634083	
SLC4A1AP	-1.16916	0.442841	
WDR11	-1.08371	0.58993	
KLC2	-1.05864	0.794331	
CSTF2T	-1.06781	0.529292	
ANAPC1	-1.08348	1.01873	
PDCL3	-1.19143	0.557333	
CENPH	-1.3665	0.719108	
CUEDC2	-1.31099	1.08498	
HEATR1	-1.54617	0.410517	
RPAP3	-1.56067	0.828172	
ANTXR1	-1.43882	0.782865	
FKRP	-2.25428	0.310174	
WDR41	-2.04488	0.724133	
SPC25	-2.0256	1.23917	
ETNK1	-1.20424	0.416504	
RTN4	-1.162	1.24704	
PICK1	-1.02905	0.731646	
ECHDC1	-1.05193	0.422678	
ZCCHC3	-1.35665	0.535541	
NCDN	-1.63951	0.685525	
PEF1	-1.4921	0.506622	
SEC63	-1.06833	0.888011	
ARMCX3	-2.18706	0.89914	
MKRN1	-1.84284	0.351608	
DACH1	-2.40258	0.857282	
PLXNA1	-1.51596	1.10879	
FBXW11	-1.07018	0.750066	
CNOT11	-1.75589	0.903461	
PRPF19	-1.46192	0.981273	
VPS4A	-1.72753	1.1595	
PCDHB9	-1.40369	0.383132	
STX8	-1.17176	0.304166	
CEP131	-1.45956	0.479701	
USP22	-1.54856	0.745619	
RAP2C	-1.15619	0.533466	
ATP6V0A2	-1.17636	0.517518	
ZNF451	-1.69615	1.00164	
RNF114	-1.45015	0.405277	
SLC4A4	-1.0306	1.15774	
KRT87P	2.03542	0.573745	
UBXN8	1.13849	0.740092	
PSMD14	1.16284	1.25278	
PPEF2	1.40794	0.614319	
KHNYN	1.22873	0.77144	
U2SURP	1.25634	0.403567	
NPC1	1.13446	0.825729	
STX7	1.28257	0.464847	
PJA2	1.39611	0.426383	
DYNC1LI2	1.09578	0.676709	
TPD52L2	1.14659	0.829204	
PRKRIR	3.48414	0.678322	
TGM5	1.20105	0.807307	
LIAS	4.1635	0.432495	
CCNK	1.082	0.715282	
KIF20A	1.5068	1.17036	
FKBP9	1.01441	0.586286	
UTS2	2.65033	0.465355	
HSPB1	1.72302	0.536741	
APOD	1.10943	0.445475	
YBX3	1.72035	0.69198	
SYN1	1.42777	0.240361	
TAC1	1.56846	0.433705	
RPL13	1.19429	1.07511	
ABCD3	1.0827	1.21988	
LCN1	1.41339	0.463412	
DSG3	1.57843	0.455526	
GNL1	1.23683	0.458573	
TMPO	1.11051	0.583436	
HAL	1.10084	0.326674	
RANBP1	1.11387	0.394821	
CBX5	1.02795	0.286064	
NEDD4	1.38276	0.643623	
SERPINB4	1.72985	0.717252	
MARCKSL1	1.49167	0.333352	
BID	1.14749	0.610192	
RPL11	1.4213	0.589805	
FKBP1A	1.7298	0.476756	
CSNK2B	1.00899	0.51404	
UBE2L3	1.69831	1.23025	
TUBA4A	1.73406	1.24826	
SRSF2	1.21983	0.477286	
XPC	1.02991	0.711252	
UBXN1	1.51631	0.507082	
TLE3	1.73114	0.824688	
KHDRBS1	1.03509	0.822512	
SRSF5	1.09056	0.525589	
RBBP4	1.24541	0.693027	
BPTF	1.56034	0.319502	
CHD3	1.8508	0.467821	
CBX3	1.11185	0.937859	
BIRC3	1.23791	0.21583	
BLMH	1.33456	0.40272	
FLNC	1.10661	0.828783	
ACAP1	1.07226	0.566765	
PCBP1	1.79772	0.494514	
TAB1	1.03145	0.979562	
ZKSCAN8	1.1724	0.784655	
STXBP2	1.06636	0.928129	
NEDD8	1.76413	0.744217	
CHD9	2.00998	0.408613	
RBM26	1.40597	1.08574	
CROCC	1.79234	0.710273	
RNF220	1.62285	0.535507	
NCR3LG1	1.56431	1.14992	
AAGAB	1.23735	0.91785	
BTN2A1	1.27594	0.662888	
ABCA13	1.73394	0.38187	
PROSER2	1.33751	0.876154	
CDR2L	1.90277	0.444185	
ERICH1	1.07489	0.51128	
SUGP2	1.12619	0.730756	
KATNAL2	2.39001	0.415913	
MTURN	1.84458	1.09765	
MPP5	1.11361	0.557847	
UBR7	1.24356	0.941978	
SCCPDH	2.07307	0.608038	
RNF149	2.12217	1.11271	
SMC1B	1.54357	1.0535	
SYNE1	1.55248	0.365661	
TNIP2	1.31589	0.502965	
SMARCC2	1.54247	0.40918	
SHROOM3	3.18315	0.532699	
H1FX	1.34677	0.456426	
MSI2	1.01044	0.713302	
SGTB	1.31952	1.2399	
EYA3	1.62915	0.992037	
WDR77	1.23339	0.419359	
HAUS8	2.69048	1.23563	
NDFIP1	1.21455	0.988848	
HNRNPUL1	1.10736	0.914741	
IFT27	1.04848	1.08174	
BCL2L13	1.15493	0.47455	
WDR12	1.09562	0.317789	
EPN3	1.06045	0.840569	
ZWILCH	1.30669	0.799046	
DYNLRB1	1.65598	0.416915	
EXOSC3	1.6676	0.878643	
ITM2C	1.83089	0.703215	
BAZ1A	1.21844	0.456668	
FBXO28	1.23935	0.56374	
EXD2	1.21778	0.582081	
GLTP	1.34379	0.605902	
NYNRIN	2.61022	0.982135	
EIF3K	1.19602	0.433861	
DDX20	1.28581	0.39341	
NAGK	1.16459	0.857872	
CHIC2	1.68318	0.684688	
VDAC3	1.0453	0.457945	
RABGAP1	1.16242	0.666981	
ATG4B	1.2659	0.438786	
TTC26	-0.612706	0.308629	
UBA6	0.392756	0.366756	
ESYT2	-0.780392	0.9387	
PIPSL	-0.253627	0.0636949	
TARSL2	-0.29762	0.320525	
CNOT1	-0.443717	0.434648	
FAM127A	-0.618561	0.598891	
EIF3C	0.0172869	0.0195031	
NACA	-0.391211	0.701031	
KIF2A	-0.0829144	0.0536496	
PDLIM1	0.369344	0.211249	
SNAP23	0.0532055	0.0484741	
AIP	-0.128319	1.04135	
GTPBP1	-0.402945	0.232064	
STXBP3	0.159424	0.366909	
PSMD11	-0.450429	0.250512	
PSMD12	-0.674449	0.794692	
PGRMC1	-0.256587	0.988725	
DFFA	0.313181	0.68928	
HIP1	-0.0232582	0.0304407	
CLIC1	0.128967	0.419765	
EIF3F	0.298908	0.884559	
WWP2	0.226379	0.0879658	
SLC28A1	0.264163	0.374559	
IPO5	-0.0307903	0.0630045	
EEF2K	-0.173465	0.268541	
IGF2BP3	-0.0466277	0.161177	
DNM1L	0.299035	1.1648	
PIK3R2	-0.11939	0.216972	
PLOD2	0.276744	0.297678	
MEIS1	-0.0297591	0.0612732	
EXOC5	0.0262426	0.0843762	
KPNA3	-0.342257	0.203147	
STK26	0.400841	0.631607	
PES1	0.0649509	0.141952	
NOP56	-0.170749	0.0997621	
DDX3X	0.584889	0.37162	
KPNA4	-0.752951	0.865214	
E2F3	-0.137697	0.134184	
UBE2C	0.321156	0.86274	
TRAFD1	-0.134544	0.271174	
UBFD1	-0.0837975	0.320103	
COPE	-0.222134	0.249073	
CTDSP2	0.362285	0.327211	
AP3D1	0.168099	0.183348	
IRS4	-0.347975	0.424125	
STX16	-0.285903	0.239088	
ADAM10	0.203904	0.136958	
APAF1	0.195073	0.106258	
PRMT5	-0.552959	0.167501	
SLC9A3R1	0.576226	1.02965	
TNFRSF10B	0.447042	0.704395	
TCERG1	-0.024039	0.0348317	
NDC80	0.419338	1.29462	
PSMA7	-0.257988	1.0147	
SCAMP3	0.0734768	0.160283	
GIPC1	-0.000806808	0.00142469	
LIN7A	-0.493973	0.338145	
IKBKB	-0.150035	0.324845	
HAT1	0.521345	0.98917	
MYL12A	0.0860952	0.153262	
HGS	0.0209293	0.0172787	
RAB29	0.512587	0.345199	
PPP1R12A	-0.220277	0.231193	
SLC27A2	0.0633494	0.0500942	
AZIN1	0.175212	0.219341	
HNRNPDL	-0.122461	1.00201	
XPO1	0.108447	0.148136	
BTAF1	0.418927	0.330073	
SPTBN2	-0.243505	0.52573	
CEP290	-0.0928466	0.41673	
CHUK	0.135806	0.196043	
SCAMP1	0.0787207	0.189757	
KPNA5	-0.092638	0.125777	
ARPC2	-0.341574	0.614469	
POLR1C	-0.726889	0.295326	
PLSCR1	-0.721916	0.215451	
TRIM24	-0.318877	0.887781	
PGRMC2	0.716317	0.450961	
SMAD3	-0.741895	0.420252	
SPTLC2	0.461686	0.433463	
FANCG	0.913985	0.574309	
OGT	-0.108489	0.156888	
CTAGE5	0.384888	0.464406	
MID1	0.222411	0.454641	
HMGB3	-0.0615228	0.0145661	
PPM1G	0.469319	1.02927	
INPPL1	0.580672	0.429436	
EIF3D	0.370514	0.476088	
EIF3H	0.333808	0.144674	
NVL	0.280792	0.359342	
IPO8	-0.188639	0.18878	
ABCC4	-0.592183	0.63331	
ABCC5	0.413116	0.243977	
NUPL2	-0.140939	0.082015	
PDPK1	-0.167557	0.444198	
DHX15	0.0288817	0.0302094	
RNMT	-0.460375	0.208886	
TTI1	-0.658423	0.400525	
PHGDH	-0.0306295	0.0314436	
PSMD3	-0.371945	0.509212	
RBFOX2	-0.730231	1.26973	
PAPSS1	0.0897573	0.138902	
ZW10	-0.136347	0.375293	
SPINT2	-0.519279	0.344941	
ADCY6	-0.482754	0.397158	
MAP3K7	0.0174548	0.00784005	
HNRNPR	0.356373	0.372133	
TXNL1	0.122827	0.109345	
EMC8	0.918832	0.344673	
FIBP	-0.719232	0.47319	
EIF4G3	0.280052	0.149935	
SUV39H1	0.399469	0.106046	
EPB41L2	-0.341616	0.67028	
XRCC3	-0.300005	0.161249	
XPOT	-0.203271	0.236864	
ZNF207	-0.279613	0.482014	
ASNA1	-0.416232	0.134725	
BUB3	0.192156	0.284484	
ACTN4	-0.292104	0.992475	
WBSCR22	0.025397	0.00613175	
HTATSF1	0.0660261	0.0584274	
AP1G1	-0.438765	0.477875	
STX6	0.316365	0.37406	
SYNGR2	0.0648327	0.263848	
SGTA	0.162619	0.158415	
SPOP	0.455083	0.375452	
MYO1B	-0.122375	0.198356	
NUDT21	-0.180922	0.911654	
LANCL1	-0.230484	0.165426	
STRN	-0.223061	0.607333	
ZBTB14	-0.564252	0.223529	
NRD1	0.098945	0.42632	
AHCYL1	-0.151655	0.564198	
PEX1	0.334305	0.335744	
RAD21	0.0732587	0.153572	
SSSCA1	-0.442011	1.27934	
MED14	0.100084	0.0467113	
SMARCA5	0.0741978	0.395101	
SPAG9	-0.100379	0.21444	
KIF5C	-0.229415	0.102588	
URB1	-0.134729	0.0951136	
AQR	-0.248065	0.128855	
PIP5K1C	-0.0657419	0.226686	
KDM1A	-0.137526	0.257896	
TBC1D4	-0.274751	0.0688373	
ACSL4	0.227824	0.30413	
STX10	0.105425	0.0882681	
MGEA5	-0.178795	0.605761	
ADCY9	0.0546799	0.0136693	
SYNCRIP	0.223075	0.306456	
RANBP6	0.265146	0.18423	
PLOD3	0.0306676	0.0631968	
EXOC3	0.449282	0.379185	
PLIN3	0.482944	0.310484	
PRMT3	0.0617733	0.160505	
KPNA6	-0.394829	0.847297	
UGDH	0.497617	0.281472	
CTNND1	-0.190758	0.255497	
SNX2	-0.00126839	0.00156557	
USO1	0.105007	0.255411	
TOM1	-0.0498581	0.0586687	
HIST1H2BL	-0.786301	0.190048	
CCDC22	0.123756	0.418887	
DKC1	-0.686488	0.460523	
EIF5B	-0.128903	0.118357	
DIAPH2	-0.310823	0.998203	
DNAJA2	0.436095	0.259993	
HUS1	0.202237	0.176054	
PFDN1	0.742683	0.764334	
SRGAP2	-0.21725	0.540303	
N4BP1	0.458302	0.208133	
ROCK2	-0.273811	0.878852	
CLASP2	-0.0763779	0.0509213	
CPNE3	-0.676381	1.15345	
HIP1R	-0.260593	0.219206	
OBSL1	0.897313	0.307976	
RNF40	-0.106847	0.334027	
PHF2	0.377086	0.249984	
ZC3H11A	0.555045	0.808018	
CLUH	-0.0954889	0.222669	
CAND2	-0.214286	0.790808	
ANKRD17	-0.261641	0.569209	
SIN3B	0.262318	0.0942673	
DNAJB6	0.333591	0.396181	
GGCT	0.587631	0.405063	
ZPR1	-0.219912	0.747557	
HMMR	-0.86419	0.504297	
TBCA	-0.0595385	0.0780074	
VPS4B	0.0840696	0.226241	
H2AFY	0.0978959	0.342656	
FLNB	-0.246077	1.03819	
CS	0.0445894	0.014926	
SEC22B	-0.00447782	0.0100506	
CDC45	0.310528	0.412426	
VPS26A	-0.140032	0.404216	
MED24	0.00160154	0.000869532	
PSIP1	-0.135965	0.242691	
ERLIN2	0.339031	0.311314	
SF3B1	-0.143698	1.079	
CSDE1	-0.286379	0.670572	
NPM3	0.701682	0.402209	
SNRNP200	0.0123247	0.00968521	
OFD1	-0.133852	0.154264	
TOM1L1	0.290143	0.649075	
PPM1B	0.124979	1.00598	
NUP155	-0.0772565	0.146084	
RP2	0.721133	0.523194	
PALM	0.0416482	0.0236354	
RNASEH2A	-0.870052	0.388803	
CDC123	0.868943	0.968142	
CAPN15	0.50677	0.283262	
EIF3G	0.104005	0.169057	
EIF3J	-0.422853	0.247954	
PSMD10	-0.776558	0.343598	
IDH1	0.0356986	0.0265191	
STAM2	-0.0447489	0.0512143	
ARL6IP5	0.630303	0.339501	
PIAS1	0.21902	0.242155	
DCTN3	-0.0169373	0.010128	
DNAJC8	0.677253	0.231429	
SMNDC1	-0.613192	0.412472	
FLOT1	-0.145193	0.0977796	
MPDZ	-0.191727	0.166038	
CPD	-0.370822	0.569224	
GLRX3	-0.18741	0.259576	
SRP72	0.281926	0.60659	
MTA2	0.168502	0.1925	
USP1	0.0808322	0.174946	
STK10	-0.584993	0.70205	
LTN1	-0.55191	0.354701	
TOX4	0.394422	0.290795	
UFL1	0.22547	0.303628	
PROSC	0.166037	0.0726961	
PRPF6	0.207832	0.908415	
PCF11	-0.996982	0.935485	
HAUS5	0.411819	1.22053	
FBXO21	0.161211	0.0542652	
RHOBTB3	-0.662998	0.502065	
TRIM37	0.182327	0.291287	
SEC31A	-0.270178	0.578967	
CEP152	0.352257	0.0598975	
UBR5	0.0665518	0.0449329	
ZNF202	-0.829604	0.334968	
MFN2	-0.119519	0.101568	
UBE4B	-0.0245743	0.0928238	
IKBKAP	-0.361416	0.6607	
SNX4	0.60786	0.362873	
ZWINT	-0.472684	0.503388	
KIF4A	-0.336517	0.755566	
KAT7	-0.916174	0.51152	
TNKS	0.171394	0.333292	
PAPSS2	0.308073	0.107632	
SMC2	-0.264048	0.721175	
ATG7	0.0194995	0.0366751	
FARS2	-0.29748	0.0968151	
IPO7	0.284875	0.533557	
ARIH2	-0.000720978	0.000805043	
PGM3	0.071682	0.121376	
CD2BP2	0.240789	0.158804	
AHSA1	0.0533384	0.0663187	
SEC24A	-0.0772209	0.0468135	
TDP2	0.148591	0.27496	
ACSL3	-0.384934	0.242432	
CNOT4	-0.386975	0.941646	
FGFR1OP	0.563093	0.233495	
SNAP29	0.0354144	0.0794126	
OXSR1	-0.162508	0.107242	
GGPS1	0.547745	0.270124	
HSPA4L	-0.106721	0.303996	
STARD3NL	-0.640263	0.221753	
AP2A1	0.0661532	0.0308543	
WIZ	-0.142745	0.0966298	
TTC4	-0.998444	0.859311	
BPNT1	0.396929	0.163239	
ECD	0.550156	0.971458	
MBD3	0.391008	0.604864	
CLPTM1	0.366571	0.209559	
ZBED1	-0.70554	0.692878	
ACTL6A	-0.0594927	0.0119173	
LDHA	-0.129984	0.473889	
CYB5R3	0.204438	0.484995	
GSR	0.839776	0.534923	
MT-CO2	-0.131727	0.0930169	
PNP	0.0816511	0.0463921	
HPRT1	-0.168845	0.162422	
PGK1	-0.182601	1.02876	
CA2	-0.359697	1.07166	
SERPINA3	0.200343	0.111786	
CSTA	0.272515	0.59525	
KRAS	-0.148121	0.0952877	
LDLR	-0.723999	0.821385	
PIGR	0.193113	0.206786	
IGHG1	0.164227	0.104106	
IGHA1	0.114317	0.0706536	
HLA-B	-0.14256	0.0659994	
HLA-A	0.240544	0.207178	
COL1A1	-0.162793	0.0803036	
LMNA	0.117559	0.0796376	
TFRC	-0.0227884	0.0587038	
SMR3B	-0.202785	0.147127	
CAT	0.41315	1.09922	
CSTB	-0.298084	0.613722	
ANXA1	0.199313	0.162155	
GAPDH	-0.184133	0.412915	
CAPNS1	-0.150889	0.0718509	
TP53	-0.23011	0.256516	
TYMS	-0.201086	0.670256	
RPN1	-0.112135	0.333613	
HIST1H2AC	0.323645	0.11377	
SLC4A2	-0.246438	0.882148	
ATP1A1	0.0747668	0.106547	
ARG1	-0.147077	0.169047	
S100A8	0.177345	0.184941	
PCCA	0.0304025	0.0310954	
EIF2S1	-0.11466	0.4421	
RPLP2	-0.0230522	0.0116284	
RPLP0	-0.0523415	0.0825065	
JUN	0.0839933	0.129774	
